tm_club,fpl_club
AFC Bournemouth,Bournemouth
Brighton & Hove Albion,Brighton
Cardiff City,Cardiff
Huddersfield Town,Huddersfield
Hull City,Hull
Ipswich Town,Ipswich
Leeds United,Leeds
Leicester City,Leicester
Luton Town,Luton
Manchester City,Man City
Manchester United,Man Utd
Newcastle United,Newcastle
Norwich City,Norwich
Nottingham Forest,Nott'm Forest
Sheffield United,Sheffield Utd
Stoke City,Stoke
Sunderland AFC,Sunderland
Swansea City,Swansea
Tottenham Hotspur,Spurs
West Bromwich Albion,West Brom
West Ham United,West Ham
Wolverhampton Wanderers,Wolves
